State Name,NumberDIstricts,Cluster_Avg_Distance,District_Avg_Distance,District-Cluster Difference,State,Integrity Index,Public Access to Information,Political Financing,Executive Accountability,Legislative Accountability,Judicial Accountability,State Budget Processes,State Civil Service Management,Procurement,Internal Auditing,Lobbying Disclosure,State Pension Fund Management,Ethics Enforcement Agencies,State Insurance Commissions,Redistricting
Alabama,7,60840.42103,69162.93535,8322.51432,1,71.77463621,56.944444,43.940146,76.333333,60.333333,80.116071,75.138889,86.309524,89.285714,93.75,71.180556,64.672619,77.951389,88.888889,40
Arizona,9,53998.42873,74140.02983,20141.6011,4,68.06003171,77.777778,67.303241,73.611111,68.833333,80.267857,75.277778,54.85119,69.642857,85.416667,57.291667,39.494048,55.295139,52.777778,95
Arkansas,4,80936.14729,86976.05993,6039.91264,5,68.26258979,54.166667,65.874669,73.222222,67.666667,70.276786,73.75,61.964286,80.357143,92.708333,73.611111,42.529762,74.479167,60.069444,65
California,53,20231.82632,33065.68108,12833.85476,6,80.80151643,61.111111,80.491071,83.388889,74.666667,71.360119,72.361111,77.529762,87.5,91.666667,91.666667,74.375,83.506944,81.597222,100
Colorado,7,45188.78001,58745.98835,13557.20834,8,66.94559,33.333333,75.25463,77.333333,69.666667,76.151786,89.305556,56.934524,83.035714,89.583333,72.222222,52.142857,34.288194,57.986111,70
Connecticut,5,22599.03188,26291.51755,3692.48567,9,86.41532043,88.888889,96.056548,79.305556,76.333333,69.681548,85.555556,77.708333,91.071429,90.625,84.027778,90.178571,90.451389,89.930556,100
Florida,27,27027.02933,45458.66308,18431.63375,12,71.33734879,66.666667,60.57705,70.861111,70.833333,61.208333,73.055556,61.25,83.035714,95.833333,65.277778,64.255952,56.076389,69.791667,100
Georgia,14,42651.09907,56391.68703,13740.58796,13,49.079554,45.833333,57.958003,62.222222,56.666667,71.556548,63.611111,24.553571,65.178571,85.416667,54.513889,23.005952,0,31.597222,45
Hawaii,2,96806.97003,102291.4847,5484.51467,15,73.63088164,65.277778,85.699405,79.111111,70.666667,67.264881,64.027778,65.982143,88.392857,91.666667,62.5,68.125,74.826389,57.291667,90
Idaho,2,179234.9652,200285.236,21050.2708,16,61.12233079,72.222222,75.152116,52.444444,47.333333,61.348214,79.166667,40.386905,80.357143,89.583333,78.472222,32.02381,0,47.222222,100
Illinois,18,28624.62594,40897.35432,12272.72838,17,74.192236,81.944444,78.713624,76.833333,66,71.184524,74.027778,66.071429,85.714286,93.75,71.527778,76.309524,75.086806,71.527778,50
Indiana,9,44548.08799,57466.51843,12918.43044,18,70.073271,43.055556,55.992063,71.083333,61,70.857143,85.277778,71.190476,87.5,87.5,81.597222,91.666667,52.777778,71.527778,50
Iowa,4,78683.47842,94214.37607,15530.89765,19,78.40477371,47.222222,73.523479,79.111111,71.333333,75.571429,67.083333,59.85119,92.857143,95.833333,85.416667,95.089286,87.760417,67.013889,100
Kansas,4,88204.746,88266.55466,61.80866,20,75.06773193,73.611111,75.112434,74.833333,72.5,71.744048,85.277778,79.22619,74.107143,88.541667,57.986111,85.178571,67.621528,55.208333,90
Kentucky,6,59946.97151,72367.27952,12420.30801,21,71.20308964,76.388889,75.372024,72.555556,70.833333,55.160714,84.861111,84.315476,85.714286,94.791667,86.805556,79.52381,47.395833,78.125,5
Louisiana,6,48257.1289,60000.94078,11743.81188,22,72.12746836,37.5,62.86045,78.388889,77.333333,53.3125,84.027778,75.208333,73.214286,93.75,68.055556,78.928571,68.663194,88.541667,70
Maine,2,81529.81809,94343.33351,12813.51542,23,55.86241029,44.444444,67.786045,50.055556,36.166667,67.529762,73.472222,59.464286,72.321429,92.708333,52.777778,36.875,27.083333,51.388889,50
Maryland,8,25265.77678,35304.2032,10038.42642,24,61.37496464,36.111111,75.357143,58.222222,56.666667,66.892857,72.777778,62.619048,59.821429,77.083333,62.5,54.791667,63.975694,52.430556,60
Massachusetts,9,20307.60335,29363.63328,9056.02993,25,73.65625,47.222222,85,77.361111,68.5,76.556548,54.583333,74.255952,77.678571,79.166667,86.111111,71.696429,70.138889,72.916667,90
Michigan,14,41213.90018,49744.64152,8530.74134,26,58.04546957,63.888889,57.556217,59.333333,52.166667,51.645833,81.25,54.791667,82.142857,91.666667,56.597222,41.041667,30.208333,50.347222,40
Minnesota,8,56119.81099,69524.52354,13404.71255,27,68.9606955,75,64.809854,73.666667,61.666667,42.166667,94.027778,76.071429,86.607143,93.75,59.027778,79.732143,59.201389,59.722222,40
Mississippi,4,87773.72807,99695.91276,11922.18469,28,78.780246,68.055556,57.458664,69.444444,76.666667,69.752976,89.444444,65.47619,82.142857,98.958333,84.722222,70.922619,78.559028,91.319444,100
Missouri,8,52533.53593,63020.31807,10486.78214,29,72.09543886,58.333333,58.708664,77.722222,67.166667,69.610119,89.444444,78.630952,78.571429,92.708333,60.416667,54.464286,72.65625,80.902778,70
Nebraska,3,93016.11475,96921.64346,3905.52871,31,80.01991207,79.166667,60.228175,71.222222,68,72.366071,97.777778,79.910714,92.857143,95.833333,88.194444,72.5,75,72.222222,95
Nevada,4,43147.7771,78591.20673,35443.42963,32,59.84653721,65.277778,59.914021,69.666667,66,68.848214,60,61.964286,82.142857,39.583333,56.944444,55.357143,44.097222,43.055556,65
New Hampshire,2,50312.34547,59112.92115,8800.57568,33,65.79107614,52.777778,64.049272,82.166667,71.333333,80.142857,86.805556,73.184524,75,90.625,69.097222,77.35119,0,88.541667,10
New Jersey,12,15948.90867,22373.36346,6424.45479,34,86.59360821,80.555556,79.22619,87.722222,79.166667,77.916667,83.333333,87.440476,91.964286,89.583333,89.583333,96.130952,92.1875,87.5,90
New Mexico,3,114980.6185,136523.5123,21542.8938,35,61.90837586,66.666667,60.992063,65.166667,65.5,74.264881,72.5,71.815476,69.642857,82.291667,51.736111,64.821429,0,41.319444,80
New York,27,20059.05126,30130.25121,10071.19995,36,64.6338105,66.666667,59.814815,66.305556,69.333333,65.535714,58.611111,60.208333,66.071429,88.541667,80.902778,53.958333,55.729167,63.194444,50
North Carolina,13,42685.35677,59235.8191,16550.46233,37,70.50783036,43.055556,72.97123,78.777778,64.333333,68.008929,57.777778,72.35119,72.321429,85.416667,96.180556,79.613095,73.524306,77.777778,45
Ohio,16,30713.03778,45536.52411,14823.48633,39,66.47985157,72.222222,69.957011,61.75,59.333333,63.28869,82.777778,73.363095,70.535714,84.375,56.597222,66.934524,72.222222,67.361111,30
Oklahoma,5,75256.7942,82153.26888,6896.47468,40,64.25285821,54.166667,77.032077,65.777778,60.666667,70.071429,46.666667,66.666667,91.071429,83.333333,54.861111,51.10119,66.666667,61.458333,50
Oregon,5,65550.14482,84846.53577,19296.39095,41,72.67080029,38.888889,62.041997,65.055556,69,65.425595,87.361111,79.196429,86.607143,90.625,72.222222,62.738095,69.965278,73.263889,95
Pennsylvania,18,29023.06616,38860.88102,9837.81486,42,70.52058521,81.944444,45.575397,75.5,74.333333,40.026786,58.611111,82.678571,90.178571,94.791667,60.069444,81.755952,77.170139,74.652778,50
Rhode Island,2,19585.21986,21040.97662,1455.75676,44,75.26682957,83.333333,88.660714,75.611111,69,62.127976,68.888889,41.904762,88.392857,87.5,78.125,70.625,71.440972,78.125,90
South Carolina,7,51960.73113,73852.20047,21891.46934,45,57.4093915,22.222222,62.309854,46.805556,58,44.175595,54.305556,40.863095,83.035714,77.083333,85.763889,41.875,52.430556,54.861111,80
Tennessee,9,43088.36373,72627.59284,29539.22911,47,76.3976285,75,73.470569,82.555556,83.166667,86.366071,78.888889,77.738095,87.5,89.583333,71.180556,76.755952,60.069444,82.291667,45
Texas,36,43042.12118,70277.71451,27235.59333,48,68.43564571,56.944444,59.690807,58.944444,67.5,74.357143,76.388889,47.470238,80.357143,98.958333,71.875,80.803571,77.170139,57.638889,50
Utah,4,76768.21608,91458.49976,14690.28368,49,64.6392905,66.666667,39.282407,73.166667,59.166667,61.866071,82.916667,70.119048,89.285714,97.916667,66.319444,67.202381,0,76.041667,55
Virginia,11,37178.95638,58059.34491,20880.38853,51,55.44075957,27.777778,47.475198,56.888889,48.833333,56.872024,55.694444,72.053571,91.071429,89.583333,40.972222,43.809524,7.638889,62.5,75
Washington,10,39188.51118,49036.24721,9847.73603,53,83.10642236,83.333333,79.234458,81.722222,86.5,77.642857,87.222222,71.130952,74.107143,92.708333,90.972222,69.732143,82.378472,86.805556,100
West Virginia,3,93341.69433,114841.1614,21499.46707,54,68.17850064,30.555556,79.375,64.305556,70.5,75.556548,63.333333,52.678571,92.857143,97.916667,53.472222,66.309524,83.333333,74.305556,50
Wisconsin,8,51529.79803,63235.52797,11705.72994,55,69.8651975,61.111111,72.888558,76.888889,70,75.696429,78.055556,65.178571,80.357143,86.458333,84.027778,60.714286,82.638889,69.097222,15
